isapercent,mean
0.0,27.365237150167427
2.0,23.59636925086794
4.0,
6.0,25.69899666008766
8.0,25.394435960391
10.0,27.034767620560924
12.0,25.970943440162873
14.0,25.32044531226315
16.0,28.243609457878794
18.0,28.5847411713899
20.0,27.67803581617702
22.0,27.875839285595845
24.0,29.87645976665602
26.0,29.912046643087027
28.0,28.85197205921435
30.0,27.88154723150357
32.0,26.866135000404853
34.0,31.075826737135717
36.0,28.35451877627154
38.0,29.63152264385077
40.0,30.150900875726606
42.0,27.789101200539754
44.0,31.04078933378578
46.0,31.306026252627486
48.0,29.609579705660252
50.0,32.197674359841656
52.0,30.057609769588076
54.0,30.989004345214163
56.0,32.09425633952585
58.0,31.243426865741743
60.0,31.055858318845175
62.0,31.704715176455515
64.0,29.859419231766942
66.0,32.78122037129443
68.0,34.43160504531132
70.0,33.08292404538113
72.0,33.31973960868213
74.0,33.28213410706382
76.0,34.21468593353414
78.0,34.54482922278435
80.0,33.359064173132154
82.0,33.6510381774071
84.0,33.96751342495006
86.0,34.42923004216082
88.0,33.2027880289031
90.0,33.77629465334827
92.0,34.58702503354986
94.0,35.03790801180001
96.0,33.667745201700406
98.0,33.390944872980995
100.0,33.21536750280595
