isapercent,mean
14.0,12.536614118398665
18.0,13.308912932998785
26.0,14.438728124554226
28.0,11.94718204622684
30.0,12.260288827767761
32.0,14.260504205384752
34.0,14.195584591075763
36.0,14.167788739066529
40.0,13.731127942370989
42.0,13.86845155713881
44.0,12.677364542137429
46.0,11.63756844893208
48.0,13.977992070450883
50.0,11.966463491911608
52.0,13.257663303007249
56.0,13.309163897485043
58.0,14.199937166139945
60.0,13.40015069965629
62.0,14.620993578998762
68.0,12.51494920077394
70.0,15.170654517312139
72.0,12.829568689210125
74.0,13.127548028985846
76.0,12.317305547831307
80.0,13.841637752132804
82.0,13.078524581304276
92.0,10.393805244805801
96.0,13.273596089121206
100.0,12.397576123790627
