isapercent,mean
0.0,
2.0,23.91776059248234
4.0,22.454254498635454
6.0,23.517786163644306
8.0,24.098526264279762
10.0,23.08294867307321
12.0,24.464052396902876
14.0,23.727521742697114
16.0,23.8314396400141
18.0,23.117340691487065
20.0,22.821529057587927
22.0,22.358974063732333
24.0,23.265008184118834
26.0,22.981112259497856
28.0,24.01485639562388
30.0,22.847198752605774
32.0,23.203186485982155
34.0,23.066166848626967
36.0,24.0459678595007
38.0,24.13587333104
40.0,24.05233156368453
42.0,22.845578334861408
44.0,25.30419546289419
46.0,23.55714842012151
48.0,24.154420931923212
50.0,26.59576937268838
52.0,23.519460166082634
54.0,24.958004334464732
56.0,24.923282307994256
58.0,24.68876304285652
60.0,25.825172285878978
62.0,25.720204498364687
64.0,25.415725674057896
66.0,24.377595718935407
68.0,23.79163503865046
70.0,25.467747984207975
72.0,24.731756259969472
74.0,25.418607473653417
76.0,25.035515424208015
78.0,25.412492414081328
80.0,25.79937404397502
82.0,22.978564498131185
84.0,27.238668787716403
86.0,26.3459463235912
88.0,25.812373673018143
90.0,28.093714172155313
92.0,29.121864752269026
94.0,31.00229226913413
96.0,28.67556676634565
98.0,29.899086634752763
100.0,27.439064452845404
